	topicCategory	_id
1	Behavioral Research	pmid34121960
1	Behavioral Research	pmid33613012
1	Behavioral Research	pmid32755432
1	Behavioral Research	pmid34019485
1	Behavioral Research	pmid32826620
1	Behavioral Research	pmid32891956
1	Behavioral Research	pmid34060168
1	Behavioral Research	pmid33324254
1	Behavioral Research	pmid34001700
1	Behavioral Research	pmid33432265
1	Behavioral Research	pmid33874977
1	Behavioral Research	pmid33606424
1	Behavioral Research	pmid33500687
1	Behavioral Research	pmid33230394
1	Behavioral Research	pmid33021553
1	Behavioral Research	pmid33091843
1	Behavioral Research	pmid33424513
1	Behavioral Research	pmid34131416
1	Behavioral Research	pmid33156267
1	Behavioral Research	pmid32837434
1	Behavioral Research	pmid33849257
1	Behavioral Research	pmid33192199
1	Behavioral Research	pmid33075691
1	Behavioral Research	pmid33500688
1	Behavioral Research	pmid32837418
1	Behavioral Research	pmid32427217
1	Behavioral Research	pmid32837420
1	Behavioral Research	pmid32909983
1	Behavioral Research	pmid33217144
1	Behavioral Research	pmid33684331
1	Behavioral Research	pmid33201002
1	Behavioral Research	pmid34122174
1	Behavioral Research	pmid33329157
1	Behavioral Research	pmid32837433
1	Behavioral Research	pmid33862579
1	Behavioral Research	pmid34095459
1	Behavioral Research	pmid33038682
1	Behavioral Research	pmid33560697
1	Behavioral Research	pmid34090101
1	Behavioral Research	pmid33804828
1	Behavioral Research	pmid34105838
1	Behavioral Research	pmid33536093
1	Behavioral Research	pmid33553083
1	Behavioral Research	pmid33242814
1	Behavioral Research	pmid34136676
1	Behavioral Research	pmid32982806
1	Behavioral Research	pmid33509413
1	Behavioral Research	pmid33531212
1	Behavioral Research	pmid33132787
1	Behavioral Research	pmid33007104
1	Behavioral Research	pmid33305866
1	Behavioral Research	pmid32837431
1	Behavioral Research	pmid34134108
1	Behavioral Research	pmid32410810
1	Behavioral Research	pmid33288348
1	Behavioral Research	pmid33519318
1	Behavioral Research	pmid33960954
1	Behavioral Research	pmid32634111
1	Behavioral Research	pmid33226690
1	Behavioral Research	pmid33587985
1	Behavioral Research	pmid33097315
1	Behavioral Research	pmid34007255
1	Behavioral Research	pmid32281130
1	Behavioral Research	pmid32837440
1	Behavioral Research	pmid33675451
1	Behavioral Research	pmid33089562
1	Behavioral Research	pmid33870953
1	Behavioral Research	pmid33216014
1	Behavioral Research	pmid34141857
1	Behavioral Research	pmid32954209
1	Behavioral Research	pmid33642958
1	Behavioral Research	pmid33673847
1	Behavioral Research	pmid32852316
1	Behavioral Research	pmid32837445
1	Behavioral Research	pmid33706071
1	Behavioral Research	pmid33658866
1	Behavioral Research	pmid34148197
1	Behavioral Research	pmid32836636
1	Behavioral Research	pmid33967842
1	Behavioral Research	pmid33477319
1	Behavioral Research	pmid32472775
1	Behavioral Research	pmid33688310
1	Behavioral Research	pmid33956038
1	Behavioral Research	pmid33870952
1	Behavioral Research	pmid32848937
1	Behavioral Research	pmid32837417
1	Behavioral Research	pmid33135468
1	Behavioral Research	pmid33433026
1	Behavioral Research	pmid33676838
1	Behavioral Research	pmid34093344
1	Behavioral Research	pmid33192730
1	Behavioral Research	pmid32961535
1	Behavioral Research	pmid33253975
1	Behavioral Research	pmid33834386
1	Behavioral Research	pmid33323693
1	Behavioral Research	pmid34155437
1	Behavioral Research	pmid32473096
1	Behavioral Research	pmid33935608
1	Behavioral Research	pmid33101092
1	Behavioral Research	pmid33476192
1	Behavioral Research	pmid32970973
1	Behavioral Research	pmid33622828
1	Behavioral Research	pmid33519561
1	Behavioral Research	pmid32837430
1	Behavioral Research	pmid33526993
1	Behavioral Research	pmid33305702
1	Behavioral Research	pmid33655815
1	Behavioral Research	pmid33406806
1	Behavioral Research	pmid32837437
1	Behavioral Research	pmid34025306
1	Behavioral Research	pmid33849399
1	Behavioral Research	pmid33167515
1	Behavioral Research	pmid33169074
1	Behavioral Research	pmid32958998
1	Behavioral Research	pmid33138923
1	Behavioral Research	pmid34033580
1	Behavioral Research	pmid34128485
1	Behavioral Research	pmid32395096
1	Behavioral Research	pmid32837435
1	Behavioral Research	pmid32582324
1	Behavioral Research	pmid33177436
1	Behavioral Research	pmid33623775
1	Behavioral Research	pmid32837427
1	Behavioral Research	pmid33413619
1	Behavioral Research	pmid33681869
1	Behavioral Research	pmid32346359
1	Behavioral Research	pmid33134040
1	Behavioral Research	pmid33782199
1	Behavioral Research	pmid33652248
1	Behavioral Research	pmid33169075
1	Behavioral Research	pmid33105168
1	Behavioral Research	pmid32663990
1	Behavioral Research	pmid33519317
1	Behavioral Research	pmid33564278
1	Behavioral Research	pmid32395095
1	Behavioral Research	pmid32433363
1	Behavioral Research	pmid33298750
1	Behavioral Research	pmid32855772
1	Behavioral Research	pmid33988086
1	Behavioral Research	pmid32837432
1	Behavioral Research	pmid33603689
1	Behavioral Research	pmid33031044
1	Behavioral Research	pmid34122170
1	Behavioral Research	pmid33875916
1	Behavioral Research	pmid33877905
1	Behavioral Research	pmid33293904
1	Behavioral Research	pmid32800868
1	Behavioral Research	pmid32769778
1	Behavioral Research	pmid33127196
1	Behavioral Research	pmid33974609
1	Behavioral Research	pmid32848907
1	Behavioral Research	pmid33833695
1	Behavioral Research	pmid33740639
1	Behavioral Research	pmid32302813
1	Behavioral Research	pmid33994887
1	Behavioral Research	pmid32769777
1	Behavioral Research	pmid33833682
1	Behavioral Research	pmid33551690
1	Behavioral Research	pmid33191004
1	Behavioral Research	pmid32957797
1	Behavioral Research	pmid33293906
1	Behavioral Research	pmid33424516
1	Behavioral Research	pmid32305033
1	Behavioral Research	pmid32738562
1	Behavioral Research	pmid32315968
1	Behavioral Research	pmid32837442
1	Behavioral Research	pmid33967850
1	Behavioral Research	pmid32530889
1	Behavioral Research	pmid32412931
1	Behavioral Research	pmid33482829
1	Behavioral Research	pmid33102690
1	Behavioral Research	pmid33477135
1	Behavioral Research	pmid33424514
1	Behavioral Research	pmid33979026
1	Behavioral Research	pmid33101086
1	Behavioral Research	pmid32837428
1	Behavioral Research	pmid34025471
1	Behavioral Research	pmid33967857
1	Behavioral Research	pmid33955819
1	Behavioral Research	pmid33472704
1	Behavioral Research	pmid33686345
1	Behavioral Research	pmid33323691
1	Behavioral Research	pmid32837422
1	Behavioral Research	pmid33021554
1	Behavioral Research	pmid32837443
1	Behavioral Research	pmid33276843
1	Behavioral Research	pmid32888226
1	Behavioral Research	pmid33437224
1	Behavioral Research	pmid33642957
1	Behavioral Research	pmid33770003
1	Behavioral Research	pmid32447795
1	Behavioral Research	pmid33495688
1	Behavioral Research	pmid33493325
1	Behavioral Research	pmid32837424
1	Behavioral Research	pmid32352480
1	Behavioral Research	pmid34109685
1	Behavioral Research	pmid33456407
1	Behavioral Research	pmid32837439
1	Behavioral Research	pmid33223379
1	Behavioral Research	pmid33354065
1	Behavioral Research	pmid33106183
1	Behavioral Research	pmid32405115
1	Behavioral Research	pmid34098299
1	Behavioral Research	pmid33271730
1	Behavioral Research	pmid32413554
1	Behavioral Research	pmid33009166
1	Behavioral Research	pmid33953663
1	Behavioral Research	pmid33560696
1	Behavioral Research	pmid33230393
1	Behavioral Research	pmid32826619
1	Behavioral Research	pmid33839730
1	Behavioral Research	pmid33006789
1	Behavioral Research	pmid33111650
1	Behavioral Research	pmid33032490
1	Behavioral Research	pmid33840774
1	Behavioral Research	pmid32352927
1	Behavioral Research	pmid32517203
1	Behavioral Research	pmid32731868
1	Behavioral Research	pmid32837421
1	Behavioral Research	pmid33796034
1	Behavioral Research	pmid34029833
1	Behavioral Research	pmid34016299
1	Behavioral Research	pmid33560698
1	Behavioral Research	pmid33430353
1	Behavioral Research	pmid33036878
1	Behavioral Research	pmid32883177
1	Behavioral Research	pmid33357665
1	Behavioral Research	pmid33009167
1	Behavioral Research	pmid33781174
1	Behavioral Research	pmid33105169
1	Behavioral Research	pmid33879260
1	Behavioral Research	pmid34031341
1	Behavioral Research	pmid33551689
1	Behavioral Research	pmid33031212
1	Behavioral Research	pmid33331099
1	Behavioral Research	pmid32840246
1	Behavioral Research	pmid32680520
1	Behavioral Research	pmid33641626
1	Behavioral Research	pmid32427168
1	Behavioral Research	pmid33339632
1	Behavioral Research	pmid32493468
1	Behavioral Research	pmid32397851
1	Behavioral Research	pmid33036545
1	Behavioral Research	pmid33368844
1	Behavioral Research	pmid32918300
1	Behavioral Research	pmid32372892
1	Behavioral Research	pmid33127195
1	Behavioral Research	pmid32427165
1	Behavioral Research	pmid32820986
1	Behavioral Research	pmid32811575
1	Behavioral Research	pmid33456406
1	Behavioral Research	pmid33581936
1	Behavioral Research	pmid33836472
1	Behavioral Research	pmid32404652
1	Behavioral Research	pmid32837423
1	Behavioral Research	pmid32240293
1	Behavioral Research	pmid33418914
1	Behavioral Research	pmid32902834
1	Behavioral Research	pmid33884400
1	Behavioral Research	pmid33811706
1	Behavioral Research	pmid33364321
1	Behavioral Research	pmid33308055
1	Behavioral Research	pmid32699671
1	Behavioral Research	pmid33245567
1	Behavioral Research	pmid33324256
1	Behavioral Research	pmid33633616
1	Behavioral Research	pmid34038028
1	Behavioral Research	pmid33989440
1	Behavioral Research	pmid33935838
1	Behavioral Research	pmid33031213
1	Behavioral Research	pmid32855780
1	Behavioral Research	pmid33363275
1	Behavioral Research	pmid32267243
1	Behavioral Research	pmid32250482
1	Behavioral Research	pmid34039055
1	Behavioral Research	pmid34093094
1	Behavioral Research	pmid33495690
1	Behavioral Research	pmid33323696
1	Behavioral Research	pmid33902030
1	Behavioral Research	pmid33437225
1	Behavioral Research	pmid33203460
1	Behavioral Research	pmid32660296
1	Behavioral Research	pmid32941292
1	Behavioral Research	pmid34150478
1	Behavioral Research	pmid32404651
1	Behavioral Research	pmid33889098
1	Behavioral Research	pmid34153704
1	Behavioral Research	pmid33979485
1	Behavioral Research	pmid33951659
1	Behavioral Research	pmid32604133
1	Behavioral Research	pmid33758114
1	Behavioral Research	pmid32977050
1	Behavioral Research	pmid33430698
1	Behavioral Research	pmid33667019
1	Behavioral Research	pmid33612194
1	Behavioral Research	pmid32370984
1	Behavioral Research	pmid33293905
1	Behavioral Research	pmid33199975
1	Behavioral Research	pmid34054619
1	Behavioral Research	pmid32937978
1	Behavioral Research	pmid33293178
1	Behavioral Research	pmid33648584
1	Behavioral Research	pmid32540735
1	Behavioral Research	pmid33788354
1	Behavioral Research	pmid33428560
1	Behavioral Research	pmid33807042
1	Behavioral Research	pmid33928805
1	Behavioral Research	pmid33218018
1	Behavioral Research	pmid33476233
1	Behavioral Research	pmid32837444
1	Behavioral Research	pmid33263296
1	Behavioral Research	pmid33129635
1	Behavioral Research	pmid32496102
1	Behavioral Research	pmid33841052
1	Behavioral Research	pmid33250270
1	Behavioral Research	pmid32855774
1	Behavioral Research	pmid33708147
1	Behavioral Research	pmid32868681
1	Behavioral Research	pmid33173448
1	Behavioral Research	pmid32772702
1	Behavioral Research	pmid32945597
1	Behavioral Research	pmid34060771
1	Behavioral Research	pmid33449443
1	Behavioral Research	pmid32688440
1	Behavioral Research	pmid33746884
1	Behavioral Research	pmid33613132
1	Behavioral Research	pmid32226353
1	Behavioral Research	pmid32956164
1	Behavioral Research	pmid32837425
1	Behavioral Research	pmid33227053
1	Behavioral Research	pmid33156181
1	Behavioral Research	pmid33221126
1	Behavioral Research	pmid33803533
1	Behavioral Research	pmid33200993
1	Behavioral Research	pmid33269510
1	Behavioral Research	pmid33223977
1	Behavioral Research	pmid33841053
1	Behavioral Research	pmid33990181
1	Behavioral Research	pmid33168560
1	Behavioral Research	pmid32837438
1	Behavioral Research	pmid33422575
1	Behavioral Research	pmid33394560
1	Behavioral Research	pmid32848274
1	Behavioral Research	pmid34021742
1	Behavioral Research	pmid32718223
1	Behavioral Research	pmid33800320
1	Behavioral Research	pmid32837429
1	Behavioral Research	pmid33675605
1	Behavioral Research	pmid33140508
1	Behavioral Research	pmid33796031
1	Behavioral Research	pmid33871077
1	Behavioral Research	pmid33323694
1	Behavioral Research	pmid33323690
1	Behavioral Research	pmid32837426
1	Behavioral Research	pmid34121959
1	Behavioral Research	pmid33432266
1	Behavioral Research	pmid33749537
1	Behavioral Research	pmid33257594
1	Behavioral Research	pmid33229933
1	Behavioral Research	pmid34129475
1	Behavioral Research	pmid33426889
1	Behavioral Research	pmid33411384
1	Behavioral Research	pmid32840245
1	Behavioral Research	pmid33633612
1	Behavioral Research	pmid34104123
1	Behavioral Research	pmid33047828
1	Behavioral Research	pmid32500608
1	Behavioral Research	pmid32433365
1	Behavioral Research	pmid33738888
1	Behavioral Research	pmid33308059
1	Behavioral Research	pmid33679270
1	Behavioral Research	pmid32658812
1	Behavioral Research	pmid33417278
1	Behavioral Research	pmid33793663
1	Behavioral Research	pmid32433364
1	Behavioral Research	pmid33481760
1	Behavioral Research	pmid33443335
1	Behavioral Research	pmid32837441
1	Behavioral Research	pmid33360444
1	Behavioral Research	pmid32434597
1	Behavioral Research	pmid34149329
1	Behavioral Research	pmid32837436
1	Behavioral Research	pmid32406404
1	Behavioral Research	pmid33995961
1	Behavioral Research	pmid33250672
1	Behavioral Research	pmid33273254
1	Behavioral Research	pmid33627183
1	Behavioral Research	pmid34145186
1	Behavioral Research	pmid33516544
1	Behavioral Research	pmid32696539
1	Behavioral Research	pmid33068161
1	Behavioral Research	pmid33534278
1	Behavioral Research	pmid33495689
2	Behavioral Research	pmid33885969
2	Behavioral Research	pmid33610946
2	Behavioral Research	pmid33331195
2	Behavioral Research	pmid33765076
2	Behavioral Research	pmid33763275
2	Behavioral Research	pmid32940702
2	Behavioral Research	pmid34159382
2	Behavioral Research	pmid33856853
2	Behavioral Research	pmid32405517
2	Behavioral Research	pmid33421841
2	Behavioral Research	pmid34070754
2	Behavioral Research	pmid33669970
2	Behavioral Research	pmid32955373
2	Behavioral Research	pmid33026219
2	Behavioral Research	pmid32311314
2	Behavioral Research	pmid33542615
2	Behavioral Research	pmid33952229
2	Behavioral Research	pmid33915884
2	Behavioral Research	pmid33631014
2	Behavioral Research	pmid33069580
2	Behavioral Research	pmid32697120
2	Behavioral Research	pmid33108312
2	Behavioral Research	pmid33679571
2	Behavioral Research	pmid34161252
2	Behavioral Research	pmid33964709
2	Behavioral Research	pmid33531763
2	Behavioral Research	pmid32048862
2	Behavioral Research	pmid33797281
2	Behavioral Research	pmid33984425
2	Behavioral Research	pmid33363096
2	Behavioral Research	pmid33792536
2	Behavioral Research	pmid33543486
2	Behavioral Research	pmid32856947
2	Behavioral Research	pmid33186710
2	Behavioral Research	pmid32434606
2	Behavioral Research	pmid33815178
2	Behavioral Research	pmid32522407
3	Behavioral Research	pmid33577419
3	Behavioral Research	pmid33748175
3	Behavioral Research	pmid34111653
3	Behavioral Research	pmid33714360
3	Behavioral Research	pmid33260778
3	Behavioral Research	pmid33583045
3	Behavioral Research	pmid32722961
3	Behavioral Research	pmid32757121
3	Behavioral Research	pmid33666379
3	Behavioral Research	pmid33642906
3	Behavioral Research	pmid33110535
3	Behavioral Research	pmid33393329
3	Behavioral Research	pmid33227638
3	Behavioral Research	pmid32872179
3	Behavioral Research	pmid33743398
3	Behavioral Research	pmid33808828
3	Behavioral Research	pmid33449864
3	Behavioral Research	pmid33045122
3	Behavioral Research	pmid32843771
3	Behavioral Research	pmid33935834
3	Behavioral Research	pmid33975735
3	Behavioral Research	pmid32503173
3	Behavioral Research	pmid33670560
3	Behavioral Research	pmid34122226
3	Behavioral Research	pmid33472610
3	Behavioral Research	pmid33709935
3	Behavioral Research	pmid34049747
3	Behavioral Research	pmid33941630
3	Behavioral Research	pmid33391048
3	Behavioral Research	pmid33801912
3	Behavioral Research	pmid34053106
3	Behavioral Research	pmid33538677
3	Behavioral Research	pmid33372746
3	Behavioral Research	pmid32855353
3	Behavioral Research	pmid33657644
3	Behavioral Research	pmid34037479
3	Behavioral Research	pmid33865148
3	Behavioral Research	pmid33630747
3	Behavioral Research	pmid33492656
3	Behavioral Research	pmid33053787
3	Behavioral Research	pmid33536941
3	Behavioral Research	pmid32516880
3	Behavioral Research	pmid33352476
3	Behavioral Research	pmid32358884
3	Behavioral Research	pmid32793013
3	Behavioral Research	pmid33202686
3	Behavioral Research	pmid34096760
3	Behavioral Research	pmid32984785
3	Behavioral Research	pmid32679435
3	Behavioral Research	pmid33671943
3	Behavioral Research	pmid33806553
3	Behavioral Research	pmid33723508
3	Behavioral Research	pmid34025727
3	Behavioral Research	pmid33784218
3	Behavioral Research	pmid34052989
3	Behavioral Research	pmid33065991
3	Behavioral Research	pmid33923483
3	Behavioral Research	pmid33656227
3	Behavioral Research	pmid33362576
3	Behavioral Research	pmid34142785
3	Behavioral Research	pmid33324263
3	Behavioral Research	pmid33528767
3	Behavioral Research	pmid33310814
3	Behavioral Research	pmid33444631
3	Behavioral Research	pmid33839763
3	Behavioral Research	pmid33573721
3	Behavioral Research	pmid34047256
3	Behavioral Research	pmid32916972
3	Behavioral Research	pmid33111838
3	Behavioral Research	pmid32763197
3	Behavioral Research	pmid33910147
3	Behavioral Research	pmid33147259
3	Behavioral Research	pmid32221278
3	Behavioral Research	pmid33010997
3	Behavioral Research	pmid33435497
3	Behavioral Research	pmid32562931
3	Behavioral Research	pmid32993779
3	Behavioral Research	pmid33468986
3	Behavioral Research	pmid34150832
3	Behavioral Research	pmid33361146
3	Behavioral Research	pmid33673575
3	Behavioral Research	pmid33532394
3	Behavioral Research	pmid34071078
3	Behavioral Research	pmid33837048
3	Behavioral Research	pmid32921714
3	Behavioral Research	pmid33826721
3	Behavioral Research	pmid33117157
3	Behavioral Research	pmid33382752
3	Behavioral Research	pmid33234355
3	Behavioral Research	pmid34065655
3	Behavioral Research	pmid32716895
3	Behavioral Research	pmid33819366
3	Behavioral Research	pmid34149239
3	Behavioral Research	pmid34006039
3	Behavioral Research	pmid33709878
3	Behavioral Research	pmid32991105
3	Behavioral Research	pmid33892688
3	Behavioral Research	pmid32978210
3	Behavioral Research	pmid33042488
3	Behavioral Research	pmid32557350
3	Behavioral Research	pmid33598696
3	Behavioral Research	pmid34027023
3	Behavioral Research	pmid33636598
3	Behavioral Research	pmid33706845
3	Behavioral Research	pmid33618770
3	Behavioral Research	pmid34043739
3	Behavioral Research	pmid33170976
3	Behavioral Research	pmid34009479
3	Behavioral Research	pmid33646720
3	Behavioral Research	pmid33813617
3	Behavioral Research	pmid33225287
3	Behavioral Research	pmid33762062
3	Behavioral Research	pmid33375144
3	Behavioral Research	pmid33937171
3	Behavioral Research	pmid33119428
3	Behavioral Research	pmid33481753
3	Behavioral Research	pmid33316978
3	Behavioral Research	pmid32454138
3	Behavioral Research	pmid33172326
3	Behavioral Research	pmid33587965
3	Behavioral Research	pmid33536004
3	Behavioral Research	pmid33940153
3	Behavioral Research	pmid33206835
3	Behavioral Research	pmid34043919
3	Behavioral Research	pmid34039660
3	Behavioral Research	pmid32982903
3	Behavioral Research	pmid33587290
3	Behavioral Research	pmid34091177
3	Behavioral Research	pmid33827969
3	Behavioral Research	pmid33258996
3	Behavioral Research	pmid33192719
3	Behavioral Research	pmid33673802
3	Behavioral Research	pmid32737292
3	Behavioral Research	pmid34033224
3	Behavioral Research	pmid33120898
3	Behavioral Research	pmid33546344
3	Behavioral Research	pmid32923551
3	Behavioral Research	pmid33017613
3	Behavioral Research	pmid32768113
3	Behavioral Research	pmid33088277
3	Behavioral Research	pmid34114165
3	Behavioral Research	pmid33400005
3	Behavioral Research	pmid33922944
3	Behavioral Research	pmid33243820
3	Behavioral Research	pmid34068824
3	Behavioral Research	pmid33418433
3	Behavioral Research	pmid33972448
3	Behavioral Research	pmid33922281
3	Behavioral Research	pmid33065831
3	Behavioral Research	pmid33467693
3	Behavioral Research	pmid32960282
3	Behavioral Research	pmid33354349
3	Behavioral Research	pmid32581985
3	Behavioral Research	pmid33391060
3	Behavioral Research	pmid33028563
3	Behavioral Research	pmid33412829
3	Behavioral Research	pmid33308400
3	Behavioral Research	pmid33315543
3	Behavioral Research	pmid33254576
3	Behavioral Research	pmid34077871
3	Behavioral Research	pmid33395152
3	Behavioral Research	pmid32643751
3	Behavioral Research	pmid32466106
3	Behavioral Research	pmid33530091
3	Behavioral Research	pmid33829896
3	Behavioral Research	pmid33132989
3	Behavioral Research	pmid32501017
3	Behavioral Research	pmid32640558
3	Behavioral Research	pmid33665333
3	Behavioral Research	pmid33923567
3	Behavioral Research	pmid33383352
3	Behavioral Research	pmid33995161
3	Behavioral Research	pmid34164972
3	Behavioral Research	pmid32610613
3	Behavioral Research	pmid33231483
3	Behavioral Research	pmid33950078
3	Behavioral Research	pmid33809484
3	Behavioral Research	pmid34033583
3	Behavioral Research	pmid33192708
3	Behavioral Research	pmid33981661
3	Behavioral Research	pmid33160284
3	Behavioral Research	pmid33084902
3	Behavioral Research	pmid32274787
3	Behavioral Research	pmid34142284
3	Behavioral Research	pmid33436472
3	Behavioral Research	pmid33848257
3	Behavioral Research	pmid33572994
3	Behavioral Research	pmid33302799
3	Behavioral Research	pmid33195371
3	Behavioral Research	pmid32315963
3	Behavioral Research	pmid33291042
3	Behavioral Research	pmid33469752
3	Behavioral Research	pmid34080555
3	Behavioral Research	pmid33949179
3	Behavioral Research	pmid33166163
3	Behavioral Research	pmid33916384
3	Behavioral Research	pmid32350773
3	Behavioral Research	pmid33805291
3	Behavioral Research	pmid32411271
3	Behavioral Research	pmid32750114
3	Behavioral Research	pmid33583332
3	Behavioral Research	pmid33733832
3	Behavioral Research	pmid32943290
3	Behavioral Research	pmid33280423
3	Behavioral Research	pmid34138950
3	Behavioral Research	pmid33975597
3	Behavioral Research	pmid32731509
3	Behavioral Research	pmid33520339
3	Behavioral Research	pmid33521530
3	Behavioral Research	pmid34016295
3	Behavioral Research	pmid33549427
4	Behavioral Research	pmid33007682
4	Behavioral Research	pmid33924056
4	Behavioral Research	pmid33730355
4	Behavioral Research	pmid32870516
4	Behavioral Research	pmid33415689
4	Behavioral Research	pmid34014686
4	Behavioral Research	pmid33385782
4	Behavioral Research	pmid33200477
4	Behavioral Research	pmid33763620
4	Behavioral Research	pmid33434920
4	Behavioral Research	pmid33065821
4	Behavioral Research	pmid33995195
4	Behavioral Research	pmid34011216
4	Behavioral Research	pmid33522892
4	Behavioral Research	pmid33892402
4	Behavioral Research	pmid33900201
4	Behavioral Research	pmid33689965
4	Behavioral Research	pmid32466820
4	Behavioral Research	pmid33631537
4	Behavioral Research	pmid33781471
4	Behavioral Research	pmid33748068
4	Behavioral Research	pmid33740636
4	Behavioral Research	pmid32537135
4	Behavioral Research	pmid34028948
4	Behavioral Research	pmid33755213
4	Behavioral Research	pmid33091762
4	Behavioral Research	pmid33020967
4	Behavioral Research	pmid33679480
4	Behavioral Research	pmid32990735
4	Behavioral Research	pmid33755224
4	Behavioral Research	pmid33806163
4	Behavioral Research	pmid33224040
4	Behavioral Research	pmid33104711
4	Behavioral Research	pmid33029833
4	Behavioral Research	pmid33640864
4	Behavioral Research	pmid34016817
4	Behavioral Research	pmid33997939
4	Behavioral Research	pmid33436064
4	Behavioral Research	pmid33848451
4	Behavioral Research	pmid32693983
4	Behavioral Research	pmid33721830
4	Behavioral Research	pmid33267652
4	Behavioral Research	pmid33080339
4	Behavioral Research	pmid33273815
4	Behavioral Research	pmid34037226
4	Behavioral Research	pmid34062293
4	Behavioral Research	pmid33866855
4	Behavioral Research	pmid34004367
4	Behavioral Research	pmid33367823
4	Behavioral Research	pmid33422577
4	Behavioral Research	pmid33902668
4	Behavioral Research	pmid33992699
4	Behavioral Research	pmid32217947
4	Behavioral Research	pmid33971711
4	Behavioral Research	pmid32652385
4	Behavioral Research	pmid33765131
4	Behavioral Research	pmid33090596
4	Behavioral Research	pmid32703079
4	Behavioral Research	pmid33841334
4	Behavioral Research	pmid34129476
4	Behavioral Research	pmid32959877
4	Behavioral Research	pmid33434615
4	Behavioral Research	pmid33938922
4	Behavioral Research	pmid33737877
4	Behavioral Research	pmid32369624
4	Behavioral Research	pmid32310677
4	Behavioral Research	pmid33887160
4	Behavioral Research	pmid33861938
4	Behavioral Research	pmid32790662
4	Behavioral Research	pmid33916906
