	_id	name	date	lineages
67	pmid34121768	Comparative analysis of non structural protein 1 of SARS-CoV2 with SARS-CoV1 and MERS-CoV: An in silico study.	2021-06-02 00:00:00	sars-cov-2 beta variant
85	2020.02.17.952895	Functional pangenome analysis provides insights into the origin, function and pathways to therapy of SARS-CoV-2 coronavirus	2020-02-21 00:00:00	sars-cov-2 beta variant
52	2021.04.12.21255275	Children develop strong and sustained cross-reactive immune responses against spike protein following SARS-CoV-2 infection	2021-04-19 00:00:00	sars-cov-2 beta variant
21	pmid32837036	The Pathophysiology, Diagnosis and Treatment of Corona Virus Disease 2019 (COVID-19).	2020-09-28 00:00:00	sars-cov-2 beta variant
30	pmid34141462	Estimation of the probability of daily fluctuations of incidence of COVID-19 according to official data.	2021-06-19 00:00:00	sars-cov-2 delta variant
1	pmid33520952	Evolutionarily Conserved Long Non-coding RNA Regulates Gene Expression in Cytokine Storm During COVID-19.	2021-02-02 00:00:00	sars-cov-2 beta variant
1	pmid33520952	Evolutionarily Conserved Long Non-coding RNA Regulates Gene Expression in Cytokine Storm During COVID-19.	2021-02-02 00:00:00	sars-cov-2 gamma variant
1	pmid33520952	Evolutionarily Conserved Long Non-coding RNA Regulates Gene Expression in Cytokine Storm During COVID-19.	2021-02-02 00:00:00	sars-cov-2 delta variant
61	2020.11.18.20234161	Peginterferon Lambda-1a for treatment of outpatients with uncomplicated COVID-19: a randomized placebo-controlled trial	2020-11-23 00:00:00	sars-cov-2 lambda variant
7	pmid33805385	In Vitro Evaluation of the Activity of Terpenes and Cannabidiol against Human Coronavirus E229.	2021-03-22 00:00:00	sars-cov-2 beta variant
20	pmid32228827	[Exploration of omics mechanism and drug prediction of coronavirus-induced heart failure based on clinical bioinformatics].	2020-09-09 00:00:00	sars-cov-2 theta variant
86	2020.12.29.20249005	An Intrinsic and Extrinsic Evaluation of Learned COVID-19 Concepts using Open-Source Word Embedding Sources	2021-01-04 00:00:00	sars-cov-2 kappa variant
65	pmid33508512	Factors associated with survival in older patients affected by COVID-19: A retrospective cohort study.	2021-01-13 00:00:00	sars-cov-2 beta variant
76	2020.07.16.206680	Simulations support the interaction of the SARS-CoV-2 spike protein with nicotinic acetylcholine receptors and suggest subtype specificity	2020-07-17 00:00:00	sars-cov-2 beta variant
76	2020.07.16.206680	Simulations support the interaction of the SARS-CoV-2 spike protein with nicotinic acetylcholine receptors and suggest subtype specificity	2020-07-17 00:00:00	sars-cov-2 gamma variant
81	zenodo.4324025	Mental health, personality and lifetime psychedelic use during the COVID-19 pandemic	2020-12-16 00:00:00	sars-cov-2 beta variant
0	2020.08.24.264465	Dynamics of the N-terminal domain of SARS-CoV-2 nucleocapsid protein drives dsRNA melting in a counterintuitive tweezer-like mechanism	2020-08-24 00:00:00	sars-cov-2 beta variant
14	2020.04.24.20074179	Liver Chemistries in Patients with Severe or Non-Severe COVID-19: a Meta-Analysis	2020-04-29 00:00:00	sars-cov-2 gamma variant
83	pmid34076471	Nasal Swab Performance by Collection Timing, Procedure, and Method of Transport for Patients with SARS-CoV-2.	2021-06-02 00:00:00	sars-cov-2 kappa variant
84	2020.05.08.20096024	SARS-CoV-2 activates lung epithelia cell proinflammatory signaling and leads to immune dysregulation in COVID-19 patients by single-cell sequencing	2020-05-13 00:00:00	sars-cov-2 gamma variant
90	pmid32393973	Management of Acute Severe Ulcerative Colitis in a Pregnant Woman With COVID-19 Infection: A Case Report and Review of the Literature.	2021-01-10 00:00:00	sars-cov-2 beta variant
60	2020.05.15.20103341	Symptomatic SARS-CoV-2 infections display specific IgG Fc structures	2020-05-18 00:00:00	sars-cov-2 gamma variant
65	pmid32868971	Exploring optical spectroscopic techniques and nanomaterials for virus detection.	2020-08-07 00:00:00	sars-cov-2 zeta variant
88	pmid33407281	Anti-synthetase syndrome: a rare and challenging diagnosis for bilateral ground-glass opacities-a case report with literature review.	2021-01-07 00:00:00	sars-cov-2 theta variant
93	2020.06.18.156851	Various RNA-binding proteins and their conditional networks explain miRNA biogenesis and help to reveal the potential SARS-CoV-2 host miRNAome system	2020-06-22 00:00:00	sars-cov-2 gamma variant
35	2020.11.17.385252	Maturation and persistence of the anti-SARS-CoV-2 memory B cell response.	2020-11-17 00:00:00	sars-cov-2 beta variant
51	2021.04.27.441512	Iota-carrageenan prevents the replication of SARS-CoV-2 on an in vitro respiratory epithelium model	2021-04-27 00:00:00	sars-cov-2 iota variant
51	pmid32447232	COVID-19: beta-thalassemia subjects immunised?	2021-01-10 00:00:00	sars-cov-2 beta variant
94	2020.09.01.20184101	Rapid 'mix and read' assay for scalable detection of SARS-CoV-2 antibodies in patient plasma	2020-09-03 00:00:00	sars-cov-2 beta variant
68	pmid34123997	SARS-CoV-2 B.1.1.7 UK Variant of Concern Lineage-Related Perceptions, COVID-19 Vaccine Acceptance and Travel Worry Among Healthcare Workers.	2021-06-16 00:00:00	sars-cov-2 alpha variant
32	pmid33033861	Chest X-ray for predicting mortality and the need for ventilatory support in COVID-19 patients presenting to the emergency department.	2020-09-01 00:00:00	sars-cov-2 kappa variant
69	pmid32492559	May COVID-19 outbreaks lead to a worsening of skin chronic inflammatory conditions?	2021-01-27 00:00:00	sars-cov-2 beta variant
91	pmid34054909	Plant-Produced Receptor-Binding Domain of SARS-CoV-2 Elicits Potent Neutralizing Responses in Mice and Non-human Primates.	2021-06-01 00:00:00	sars-cov-2 gamma variant
5	2021.06.20.21259177	The evaluation of factors affecting antibody response after administration of the BNT162b2 vaccine: A prospective study in Japan	2021-06-27 00:00:00	sars-cov-2 gamma variant
28	2020.05.31.116061	Origin and cross-species transmission of bat coronaviruses in China	2020-05-31 00:00:00	sars-cov-2 beta variant
42	2020.08.10.20150060	A highly specific assay for the detection of SARS-CoV-2-reactive CD4+ and CD8+ T cells in COVID-19 patients	2020-08-13 00:00:00	sars-cov-2 gamma variant
70	pmid33994607	Inhibition of SARS-CoV-2 reproduction using Boswellia carterii: A theoretical study.	2021-04-30 00:00:00	sars-cov-2 beta variant
93	2021.07.07.21260122	Viral infection and Transmission in a large well-traced outbreak caused by the Delta SARS-CoV-2 variant	2021-07-12 00:00:00	sars-cov-2 delta variant
19	2021.03.17.21250449	The effect of in-person primary and secondary school instruction on county-level SARS-CoV-2 spread in Indiana	2021-03-20 00:00:00	sars-cov-2 beta variant
35	pmid32796119	Clinical and laboratory evaluation of SARS-CoV-2 lateral flow assays for use in a national COVID-19 seroprevalence survey.	2020-07-22 00:00:00	sars-cov-2 kappa variant
13	pmid32768580	Structural analysis of ACE2 variant N720D demonstrates a higher binding affinity to TMPRSS2.	2020-07-29 00:00:00	sars-cov-2 beta variant
22	pmid34153334	Enhanced degradation of glucocorticoids, a potential COVID-19 remedy, by co-fermentation of waste activated sludge and animal manure: The role of manure type and degradation mechanism.	2021-05-31 00:00:00	sars-cov-2 beta variant
64	pmid34218010	Progress and pitfalls of a year of drug repurposing screens against COVID-19.	2021-05-14 00:00:00	sars-cov-2 beta variant
53	pmid32485858	Javamide-II Inhibits IL-6 without Significant Impact on TNF-alpha and IL-1beta in Macrophage-Like Cells.	2020-05-24 00:00:00	sars-cov-2 beta variant
44	pmid33349063	Potential protective effects of antihypertensive treatments during the Covid-19 pandemic: from inhibitors of the renin-angiotensin system to beta-adrenergic receptor blockers.	2020-12-22 00:00:00	sars-cov-2 beta variant
77	pmid33588198	Heterogeneity in presentation of hyperglycaemia during COVID-19 pandemic: A proposed classification.	2021-02-23 00:00:00	sars-cov-2 beta variant
79	pmid33212817	Detection of SARS-CoV-2 from Saliva as Compared to Nasopharyngeal Swabs in Outpatients.	2020-11-13 00:00:00	sars-cov-2 kappa variant
81	pmid33360543	Overexpression of SARS-CoV-2 protein ORF6 dislocates RAE1 and NUP98 from the nuclear pore complex.	2020-12-28 00:00:00	sars-cov-2 beta variant
68	pmid32843626	Origin and cross-species transmission of bat coronaviruses in China.	2020-12-18 00:00:00	sars-cov-2 beta variant
14	pmid33173010	Effective Inhibition of SARS-CoV-2 Entry by Heparin and Enoxaparin Derivatives.	2020-11-11 00:00:00	sars-cov-2 beta variant
63	2021.02.09.430269	Integrated plasma proteomic and single-cell immune signaling network signatures demarcate mild, moderate, and severe COVID-19	2021-02-12 00:00:00	sars-cov-2 kappa variant
63	2021.06.17.448820	SARS-CoV-2 spike P681R mutation enhances and accelerates viral fusion	2021-06-17 00:00:00	sars-cov-2 delta variant
4	2020.08.21.20179291	Untuned antiviral immunity in COVID-19 revealed by temporal type I/III interferon patterns and flu comparison	2020-08-24 00:00:00	sars-cov-2 lambda variant
83	2020.10.15.340612	Systematic analysis of innate immune antagonism reveals vulnerabilities of SARS-CoV-2	2020-10-15 00:00:00	sars-cov-2 beta variant
83	2020.10.15.340612	Systematic analysis of innate immune antagonism reveals vulnerabilities of SARS-CoV-2	2020-10-15 00:00:00	sars-cov-2 gamma variant
83	2020.10.15.340612	Systematic analysis of innate immune antagonism reveals vulnerabilities of SARS-CoV-2	2020-10-15 00:00:00	sars-cov-2 lambda variant
93	pmid32683304	Attitudes of patients with relapsing-remitting form of multiple sclerosis using disease-modifying drugs in Montenegro regarding COVID-19 pandemic.	2020-07-03 00:00:00	sars-cov-2 beta variant
8	pmid33242672	Cytokine storm of a different flavor: the different cytokine signature of SARS-CoV2 the cause of COVID-19 from the original SARS outbreak.	2020-10-25 00:00:00	sars-cov-2 gamma variant
56	2020.08.06.20169557	A SEIR-like model with a time-dependent contagion factor describes the dynamics of the Covid-19 pandemic	2020-08-07 00:00:00	sars-cov-2 beta variant
7	2020.07.22.214254	The answer lies in the energy: how simple atomistic molecular dynamics simulations may hold the key to epitope prediction on the fully glycosylated SARS-CoV-2 spike protein	2020-07-24 00:00:00	sars-cov-2 beta variant
91	pmid32289821	Extreme Genomic CpG Deficiency in SARS-CoV-2 and Evasion of Host Antiviral Defense.	2020-12-18 00:00:00	sars-cov-2 beta variant
43	pmid32023685	[Potential antiviral therapeutics for 2019 Novel Coronavirus].	2020-02-05 00:00:00	sars-cov-2 beta variant
43	2020.06.27.20141614	Beta regression with spatio-temporal effects as a tool for hospital impact analysis of initial phase epidemics: the case of COVID-19 in Spain	2020-06-29 00:00:00	sars-cov-2 beta variant
46	2021.05.27.21257918	Monitoring emergence of SARS-CoV-2 B.1.1.7 Variant through the Spanish National SARS-CoV-2 Wastewater Surveillance System (VATar COVID-19) from December 2020 to March 2021	2021-05-30 00:00:00	sars-cov-2 delta variant
64	2021.02.09.430519	Transformations, Comparisons, and Analysis of Down to Up Protomer States of Variants of the SARS-CoV-2 Prefusion Spike Protein Including the UK Variant B.1.1.7	2021-02-09 00:00:00	sars-cov-2 alpha variant
64	2021.02.09.430519	Transformations, Comparisons, and Analysis of Down to Up Protomer States of Variants of the SARS-CoV-2 Prefusion Spike Protein Including the UK Variant B.1.1.7	2021-02-09 00:00:00	sars-cov-2 beta variant
78	pmid32905049	A cautionary tale of an emergency cerebrovascular procedure in the COVID-19 era.	2020-10-30 00:00:00	sars-cov-2 gamma variant
73	pmid33269805	How SARS-CoV-2 (COVID-19) spreads within infected hosts - what we know so far.	2020-11-04 00:00:00	sars-cov-2 beta variant
39	pmid34064613	Immune Response to COVID-19 mRNA Vaccine-A Pilot Study.	2021-04-29 00:00:00	sars-cov-2 gamma variant
72	2020.09.01.20185611	Examination of Isolation Rate in SIQR model for COVID-19 Epidemic	2020-09-03 00:00:00	sars-cov-2 lambda variant
5	2020.03.26.010322	Site-specific analysis of the SARS-CoV-2 glycan shield	2020-03-28 00:00:00	sars-cov-2 beta variant
11	pmid33450483	The papain-like protease of coronaviruses cleaves ULK1 to disrupt host autophagy.	2021-01-15 00:00:00	sars-cov-2 beta variant
32	2020.03.12.988865	The architecture of SARS-CoV-2 transcriptome	2020-03-14 00:00:00	sars-cov-2 beta variant
82	pmid32156648	2019 novel coronavirus (2019-nCoV) outbreak: A new challenge.	2020-02-17 00:00:00	sars-cov-2 beta variant
3	pmid33919584	Bromodomain and Extraterminal Protein Inhibitor, Apabetalone (RVX-208), Reduces ACE2 Expression and Attenuates SARS-Cov-2 Infection In Vitro.	2021-04-09 00:00:00	sars-cov-2 beta variant
86	pmid33264556	Repurposed Antiviral Drugs for Covid-19 - Interim WHO Solidarity Trial Results.	2020-12-02 00:00:00	sars-cov-2 beta variant
93	pmid32730211	Accurate Screening of COVID-19 Using Attention-Based Deep 3D Multiple Instance Learning.	2020-08-14 00:00:00	sars-cov-2 kappa variant
21	pmid33283287	An Organoid-derived Bronchioalveolar Model for SARS-CoV-2 Infection of Human Alveolar-type II-like Cells.	2020-12-07 00:00:00	sars-cov-2 lambda variant
88	pmid33045370	A whole blood test to measure SARS-CoV-2-specific response in COVID-19 patients.	2020-09-26 00:00:00	sars-cov-2 gamma variant
41	pmid33419752	Hereditary haemorrhagic telangiectasia and pulmonary arteriovenous malformations.	2021-01-11 00:00:00	sars-cov-2 beta variant
68	pmid33868891	A simplified estimate of the effective reproduction number 	2021-04-21 00:00:00	sars-cov-2 gamma variant
16	pmid33536760	Diagnostic Performance of SARS-CoV-2 IgM/IgG Rapid Test Kits for the Detection of the Novel Coronavirus in Ethiopia.	2021-02-06 00:00:00	sars-cov-2 kappa variant
36	2021.02.11.429193	Surface-aerosol stability and pathogenicity of diverse MERS-CoV strains from 2012 - 2018	2021-02-12 00:00:00	sars-cov-2 beta variant
43	2021.04.08.21255167	Refining long-COVID by a prospective multimodal evaluation of patients with long-term symptoms related to SARS-CoV-2 infection	2021-04-13 00:00:00	sars-cov-2 gamma variant
48	pmid33332358	Recombination events are concentrated in the spike protein region of Betacoronaviruses.	2020-12-17 00:00:00	sars-cov-2 beta variant
76	pmid33138634	Radiological Society of North America (RSNA) Expert Consensus Statement Related to Chest CT Findings in COVID-19 Versus CO-RADS: Comparison of Reporting System Performance Among Chest Radiologists and End-User Preference.	2020-11-03 00:00:00	sars-cov-2 kappa variant
18	pmid34242899	Between immunomodulation and immunotolerance: The role of IFNγ in SARS-CoV-2 disease.	2021-06-15 00:00:00	sars-cov-2 gamma variant
32	pmid32839746	Concentration methods for the quantification of coronavirus and other potentially pandemic enveloped virus from wastewater.	2020-09-28 00:00:00	sars-cov-2 beta variant
47	pmid33239458	Gammacoronavirus Avian Infectious Bronchitis Virus and Alphacoronavirus Porcine Epidemic Diarrhea Virus Exploit a Cell-Survival Strategy via Upregulation of cFOS to Promote Viral Replication.	2020-11-26 00:00:00	sars-cov-2 gamma variant
93	2021.03.07.21252302	In vivo evaluation of the virucidal efficacy of Chlorhexidine and Povidone-iodine mouthwashes against salivary SARS-CoV-2.	2021-03-17 00:00:00	sars-cov-2 delta variant
95	pmid33335956	Novel SARS-CoV-2 outbreak and COVID19 disease; a systemic review on the global pandemic.	2020-05-26 00:00:00	sars-cov-2 beta variant
64	pmid34190576	Evaluation of the performance of the Associates of Cape Cod STAT™ assay for the diagnosis of invasive fungal disease in critical-care patients with COVID-19.	2021-06-30 00:00:00	sars-cov-2 kappa variant
78	pmid32485157	Diagnostic performances and thresholds: The key to harmonization in serological SARS-CoV-2 assays?	2021-01-10 00:00:00	sars-cov-2 kappa variant
79	pmid33167030	Secondary structure determination of conserved SARS-CoV-2 RNA elements by NMR spectroscopy.	2020-09-08 00:00:00	sars-cov-2 beta variant
93	2020.12.23.20248790	A Systematic Review of the Incubation Period of SARS-CoV-2: The Effects of Age, Biological Sex, and Location on Incubation Period	2020-12-24 00:00:00	sars-cov-2 beta variant
8	2020.07.06.20147256	Early Diagnosis and Clinical Significance of Acute Cardiac Injury - Under the Iceberg: A Retrospective Cohort Study of 619 Non-critically Ill Hospitalized COVID-19 Pneumonia Patients	2020-07-07 00:00:00	sars-cov-2 gamma variant
17	2021.01.21.21249176	Distinct Autoimmune Antibody Signatures Between Hospitalized Acute COVID-19 Patients, SARS-CoV-2 Convalescent Individuals, and Unexposed Pre-Pandemic Controls	2021-01-25 00:00:00	sars-cov-2 beta variant
97	pmid33493861	Interleukin 6, soluble interleukin 2 receptor alpha (CD25), monocyte colony-stimulating factor, and hepatocyte growth factor linked with systemic hyperinflammation, innate immunity hyperactivation, and organ damage in COVID-19 pneumonia.	2020-12-16 00:00:00	sars-cov-2 gamma variant
48	2020.11.09.374769	Neutrophil extracellular traps induce the epithelial-mesenchymal transition: implications in post-COVID-19 fibrosis	2020-11-09 00:00:00	sars-cov-2 beta variant
86	2020.05.07.20094607	Early Mandated Social Distancing is a Strong Predictor of Reduction in Highest Number of New COVID-19 cases per Day within Various Geographic Regions	2020-05-11 00:00:00	sars-cov-2 beta variant
35	pmid33582369	Pre-existing T-cell immunity to SARS-CoV-2 in unexposed healthy controls in Ecuador, as detected with a COVID-19 Interferon-Gamma Release Assay.	2021-02-01 00:00:00	sars-cov-2 gamma variant
82	pmid32687677	Developing a holistic contingency plan: Challenges and dilemmas for cancer patients during the COVID-19.	2020-06-16 00:00:00	sars-cov-2 beta variant
1	2021.06.25.449871	Engineered chimeric T cell receptor fusion construct (TRuC)-expressing T cells prevent translational shutdown in SARS-CoV-2-infected cells	2021-06-25 00:00:00	lineage b.1.429
1	2021.06.25.449871	Engineered chimeric T cell receptor fusion construct (TRuC)-expressing T cells prevent translational shutdown in SARS-CoV-2-infected cells	2021-06-25 00:00:00	sars-cov-2 beta variant
92	pmid33493866	Ergosterol peroxide exhibits antiviral and immunomodulatory abilities against porcine deltacoronavirus (PDCoV) via suppression of NF-κB and p38/MAPK signaling pathways in vitro.	2020-12-10 00:00:00	sars-cov-2 delta variant
4	pmid33717193	Two Different Antibody-Dependent Enhancement (ADE) Risks for SARS-CoV-2 Antibodies.	2021-03-16 00:00:00	sars-cov-2 beta variant
24	pmid32563698	Repurposing old drugs as antiviral agents for coronaviruses.	2020-05-13 00:00:00	sars-cov-2 beta variant
40	2020.09.05.20188755	Quantifying Inaccuracies in Modeling COVID-19 Pandemic within a Continuous Time Picture	2020-09-08 00:00:00	sars-cov-2 kappa variant
9	pmid33939121	Prevalence and Mortality due to COVID-19 in HIV Co-Infected Population: A Systematic Review and Meta-Analysis.	2021-05-03 00:00:00	sars-cov-2 beta variant
97	pmid33691145	Broad-Spectrum Anti-coronavirus Vaccines and Therapeutics to Combat the Current COVID-19 Pandemic and Future Coronavirus Disease Outbreaks.	2020-12-18 00:00:00	sars-cov-2 beta variant
71	pmid33189452	Could a family history of type 2 diabetes be a risk factor to the endothelial damage in the patient with COVID-19?	2020-10-19 00:00:00	sars-cov-2 beta variant
83	pmid34037469	COVID-19 and Preparing for Future Ecological Crises: Hopes from Metagenomics in Facing Current and Future Viral Pandemic Challenges.	2021-05-26 00:00:00	sars-cov-2 beta variant
20	2020.11.24.389627	The rocaglate CR-31-B (-) inhibits SARS-CoV-2 replication at non-cytotoxic, low nanomolar concentrations in vitro and ex vivo	2020-11-24 00:00:00	sars-cov-2 beta variant
34	pmid33536792	Perspectives on Repurposed Drugs Based on Globally Accepted Therapeutic Guidelines to Combat SARS-CoV-2 Infection.	2021-02-06 00:00:00	sars-cov-2 beta variant
20	2021.04.08.438904	The impact of viral mutations on recognition by SARS-CoV-2 specific T-cells	2021-04-08 00:00:00	sars-cov-2 gamma variant
22	pmid33685461	Endotheliopathy in septic conditions: mechanistic insight into intravascular coagulation.	2021-03-10 00:00:00	sars-cov-2 gamma variant
30	pmid33437798	A narrative review of non-pharmacological management of SARS-CoV-2 respiratory failure: a call for an evidence based approach.	2021-01-14 00:00:00	sars-cov-2 beta variant
34	2020.03.15.991844	RBD mutations from circulating SARS-CoV-2 strains enhance the structure stability and infectivity of the spike protein	2020-03-17 00:00:00	sars-cov-2 beta variant
11	pmid33315601	Adaptation of an Obstetric Anesthesia Service for the Severe Acute Respiratory Syndrome Coronavirus-2 Pandemic: Description of Checklists, Workflows, and Development Tools.	2020-12-17 00:00:00	sars-cov-2 delta variant
14	pmid33847424	Important lessons from agammaglobulinaemic patient with COVID-19.	2021-04-13 00:00:00	sars-cov-2 gamma variant
43	pmid33014208	How COVID-19 induces cytokine storm with high mortality.	2020-10-06 00:00:00	sars-cov-2 kappa variant
94	2020.07.06.20147470	Chloroquine for treatment of COVID-19 - a pig in a poke?	2020-07-08 00:00:00	sars-cov-2 delta variant
24	pmid33995351	SARS-CoV-2-Seronegative Subjects Target CTL Epitopes in the SARS-CoV-2 Nucleoprotein Cross-Reactive to Common Cold Coronaviruses.	2021-05-18 00:00:00	sars-cov-2 beta variant
54	pmid32698440	Tiotropium is Predicted to be a Promising Drug for COVID-19 Through Transcriptome-Based Comprehensive Molecular Pathway Analysis.	2020-07-10 00:00:00	sars-cov-2 gamma variant
9	pmid33782990	Comprehensive Comparative Genomic and Microsatellite Analysis of SARS, MERS, BAT-SARS and COVID-19 Coronaviruses.	2021-03-30 00:00:00	sars-cov-2 beta variant
53	2021.04.15.21255510	More than a year after the onset of the CoVid-19 pandemic in the UK: lessons learned from a minimalistic model capturing essential features including social awareness and policy making	2021-04-16 00:00:00	sars-cov-2 alpha variant
73	2020.07.22.202275	Transcriptional response modules characterise IL-1 and IL-6 activity in COVID-19	2020-07-23 00:00:00	sars-cov-2 beta variant
77	2020.05.13.20099796	Adjusted fatality rates of COVID19 pandemic: a comparison across countries	2020-05-16 00:00:00	sars-cov-2 beta variant
28	pmid33996728	Seroprevalence of SARS-CoV-2 Assessed by Four Chemiluminescence Immunoassays and One Immunocromatography Test for SARS-Cov-2.	2021-05-18 00:00:00	sars-cov-2 kappa variant
54	pmid33110678	Mutations Observed in the SARS-CoV-2 Spike Glycoprotein and Their Effects in the Interaction of Virus with ACE-2 Receptor.	2020-11-14 00:00:00	sars-cov-2 beta variant
79	2021.03.16.21252974	Molecular Epidemiology of SARS-CoV-2 in Cyprus	2021-03-24 00:00:00	sars-cov-2 alpha variant
80	pmid33807643	Design of Fear and Anxiety of COVID-19 Assessment Tool in Spanish Adult Population.	2021-02-28 00:00:00	sars-cov-2 kappa variant
29	pmid32944968	Cholesterol 25-Hydroxylase inhibits SARS-CoV-2 and other coronaviruses by depleting membrane cholesterol.	2020-09-09 00:00:00	sars-cov-2 beta variant
39	pmid33256111	Could Naturally Occurring Coronaviral Diseases in Animals Serve as Models for COVID-19? A Review Focusing on the Bovine Model.	2020-11-24 00:00:00	sars-cov-2 beta variant
58	pmid32320687	Phylogenetic Analysis and Structural Modeling of SARS-CoV-2 Spike Protein Reveals an Evolutionary Distinct and Proteolytically Sensitive Activation Loop.	2020-04-06 00:00:00	sars-cov-2 beta variant
21	pmid33731724	A conserved immunogenic and vulnerable site on the coronavirus spike protein delineated by cross-reactive monoclonal antibodies.	2021-03-19 00:00:00	sars-cov-2 beta variant
41	2020.08.02.20129767	A Classification Approach for Predicting COVID-19 Patient Survival Outcome with Machine Learning Techniques	2020-08-10 00:00:00	sars-cov-2 kappa variant
79	2021.06.09.21258232	COVID-19 antibody detection and assay performance using red cell agglutination	2021-06-12 00:00:00	sars-cov-2 kappa variant
95	2020.11.19.20234237	Association of Toll-like receptor 7 variants with life-threatening COVID-19 disease in males	2020-11-27 00:00:00	sars-cov-2 gamma variant
0	2021.04.09.21255179	SARS-CoV-2 UK, South African and Brazilian Variants in Karachi- Pakistan	2021-04-13 00:00:00	sars-cov-2 gamma variant
